pole_id,pole_stencil
1005,2-37
1006,2-34
1007,2-58
1008,2-105
1009,2-104
1010,A-26144
1011,3-11
1012,3-41
1013,3-33
1014,3-92
1015,3-32
1016,3-5007
1017,3-17
1018,3-161832
1019,3-20
1020,"L-B 2/10"
1021,"L-B 2/11"
1022,"L-B 2/12"
1023,"L-B 2/13"
1024,"L-B 2/14"
1025,"L-B 2/15"
1026,"L-B 3/1"
1027,"L-B 3/2"
1028,"L-B 3/3"
1029,"L-B 3/4"
1030,"L-B 3/5"
1031,"L-B 3/6"
1032,"L-B 3/7"
1033,"L-B 3/8"
1034,"L-B 3/9"
1035,"L-B 3/10"
1036,"L-B 3/11"
1037,"L-B 3/12"
1038,"L-B 3/13"
1039,"L-B 3/14"
1040,"L-B 3/15"
1041,"L-B 3/16"
1042,"L-B 3/17"
1043,"L-B 3/18"
1044,4-48
1045,4-49
1046,4-43
1047,4-100
1048,1-20
1049,1-45
1050,1-18
1051,1-17
1052,1-60
1053,1-62
1054,1-63
1055,1-138
1056,1-136
1057,1-149
1058,1-185044
1059,4-185042
1060,4-65
1061,4-67
1062,4-69
1063,4-74
1064,4-76
1065,4-83
1066,4-86
1067,4-80
1068,"L-B 2/2"
1069,4-47
1070,4-5001
1071,"L-B 2/16"
1072,"HL-ED 2/5"
1073,"S-B 6/11A"
1074,"BP-SC 0/10"
1075,"S-PF 6/11A"
1076,1-61
1077,"S-B 6/13"
1078,GCL-8
1079,"S-B 6/14"
1080,1-12
1081,"S-B 7/1"
1082,"S-B 7/2"
1083,"S-B 7/3"
1084,"S-B 7/4"
1085,"S-B 7/5"
1086,"S-B 7/6"
1087,2-4
1088,2-82
1089,2-28
1090,GC-31
1091,GCXBA-29
1092,GCC-2
1093,"S-B 7/7"
1094,"S-B 7/8"
1095,"S-B 7/9"
1096,"S-B 7/10"
1097,"S-B 7/11"
1098,"S-B 7/12"
1099,GCC-4
1100,GCC-5
1101,GCC-8
1102,GCC-10
1103,GCC-12
1104,GCC-14
1105,4-109
1106,4-101
1107,4-110
1108,4-111
1109,4-102
1110,4-92
1111,4-103
1112,4-104
1113,4-79
1114,4-105
1115,"S-B 7/13"
1116,"S-B 7/14"
1117,"S-B 8/1"
1118,"S-B 8/2"
1119,"S-B 8/3"
1120,"S-B 8/4"
1121,GCC-16
1122,GCC-18
1124,GCC-20
1125,GCC-22
1126,GCC-24
1127,GCC-26
1128,4-106
1129,4-107
1130,4-108
1131,3-52
1132,3-53
1133,3-54
1134,3-55
1135,3-56
1136,3-57
1137,3-58
1138,"S-B 8/5"
1139,"S-B 8/6"
1140,"S-B 8/8"
1141,"S-B 8/7"
1142,"S-B 8/9"
1143,GCC-28
1144,GCC-30
1145,GCC-32
1146,GCC-34
1147,GCC-36
1148,3-60
1149,3-61
1150,3-62
1151,3-66
1152,3-64
1153,3-65
1154,3-34
1155,4-2
1156,4-21
1157,4-38
1158,4-31
1159,"S-B 8/9"
1160,"S-B 8/10"
1161,"S-B 8/11"
1162,"S-B 8/12"
1163,"S-B 8/13"
1164,"S-B 8/14"
1165,GCC-38
1166,GCC-40
1167,GCC-42
1168,GCC-44
1169,GCC-46
1170,4-20
1171,4-32
1172,4-39
1173,4-18
1174,4-33
1175,4-35
1176,4-36
1177,4-34
1178,4-40
1179,4-6
1180,3-37
1181,4-37
1182,4-1
1183,4-5
1184,GCC-48
1185,GCC-49
1186,GCC-50
1187,GCC-51
1188,GCC-52
1189,GCC-53
1190,GCC-54
1191,GCC-55
1192,GCC-56
1193,GCC-57
1194,3-13
1195,2-39
1196,2-40
1197,2-41
1198,GCC-58
1199,GCC-59
1200,GCC-60
1201,GCC-61
1202,GCC-62
1203,2-43
1204,2-44
1205,2-48
1206,2-46
1207,2-47
1208,"BPA 5/8"
1209,"S-B 6/1"
1210,"S-B 6/2"
1211,"S-B 6/3"
1212,"S-B 6/4A"
1213,"S-B 6/5"
1214,"S-SC 6/4B"
1215,4-128
1216,"HL-E 10/16"
1217,"BS-BP3 6/7"
1218,"S-B 6/4A"
1219,"S-B 6/6"
1220,"S-B 6/7"
1221,"S-B 6/8"
1222,"S-B 6/9"
1223,"S-B 6/10"
1224,"S-SC 6/11B"
1225,"BP-SC 0/3"
1226,"BP-SC 0/4"
1227,"BP-SC 0/5"
1228,"BP-SC 0/6"
1229,"BP-SC 0/7"
1230,"BP-SC 0/8"
1231,"BP-SC 0/9"
1232,"BP-SC 0/11"
1233,"L-HL 29"
1235,L-HL31
1236,L-HL29
1237,4-175
1238,"S-B 6/11B"
1239,"S-B 6/4B"
1240,"S-EM 5/2"
1241,2-26
1242,1-39
1243,"S-EM 5/3"
1244,"S-EM 5/4"
1245,"S-EM 5/5"
1246,"S-EM 5/6"
1247,"S-EM 5/7"
